"n_vin","count"
0,"905199"
1,"1655699"
2,"1407291"
3,"149265"
4,"112118"
5,"87043"
6,"67949"
7,"53584"
8,"41077"
9,"33674"
10,"28618"
11,"24647"
12,"21003"
13,"18927"
14,"17073"
15,"15525"
16,"13890"
17,"12564"
18,"11333"
19,"10407"
20,"9722"
21,"9067"
22,"8086"
23,"7557"
24,"6863"
25,"6563"
26,"6283"
27,"5666"
28,"5335"
29,"5067"
30,"4937"
31,"4737"
32,"4585"
33,"4227"
34,"4155"
35,"3805"
36,"3641"
37,"7034"
38,"7633"
39,"3712"
40,"3206"
41,"2991"
42,"2751"
43,"2703"
44,"2531"
45,"2490"
46,"2233"
47,"2285"
48,"2180"
49,"2072"
50,"2025"
51,"2163"
52,"1882"
53,"1771"
54,"1797"
55,"1671"
56,"1559"
57,"1635"
58,"1476"
59,"1446"
60,"1402"
61,"1414"
62,"1351"
63,"1296"
64,"1238"
65,"1279"
66,"1183"
67,"1150"
68,"1164"
69,"1112"
70,"1049"
71,"1066"
72,"1063"
73,"1069"
74,"1000"
75,"892"
76,"875"
77,"907"
78,"846"
79,"831"
80,"788"
81,"861"
82,"774"
83,"786"
84,"803"
85,"753"
86,"669"
87,"704"
88,"760"
89,"820"
90,"699"
91,"633"
92,"708"
93,"661"
94,"657"
95,"622"
96,"635"
97,"633"
98,"634"
99,"594"
100,"663"
101,"571"
102,"740"
103,"575"
104,"613"
105,"515"
106,"501"
107,"486"
108,"532"
109,"532"
110,"515"
111,"516"
112,"476"
113,"503"
114,"458"
115,"544"
116,"461"
117,"484"
118,"476"
119,"2225"
120,"639"
121,"645"
122,"651"
123,"560"
124,"1346"
125,"500"
126,"498"
127,"475"
128,"439"
129,"448"
130,"453"
131,"411"
132,"358"
133,"395"
134,"405"
135,"381"
136,"623"
137,"372"
138,"391"
139,"352"
140,"375"
141,"366"
142,"316"
143,"523"
144,"361"
145,"327"
146,"307"
147,"327"
148,"374"
149,"307"
150,"335"
151,"346"
152,"384"
153,"307"
154,"336"
155,"514"
156,"315"
157,"317"
158,"328"
159,"333"
160,"316"
161,"640"
162,"356"
163,"276"
164,"303"
165,"340"
166,"310"
167,"302"
168,"312"
169,"311"
170,"315"
171,"314"
172,"308"
173,"290"
174,"280"
175,"295"
176,"529"
177,"332"
178,"304"
179,"270"
180,"283"
181,"1360"
182,"288"
183,"307"
184,"319"
185,"290"
186,"285"
187,"293"
188,"308"
189,"266"
190,"256"
191,"282"
192,"255"
193,"285"
194,"286"
195,"292"
196,"272"
197,"276"
198,"281"
199,"260"
200,"290"
201,"283"
202,"277"
203,"271"
204,"292"
205,"245"
206,"258"
207,"1561"
208,"267"
