"n_vin","count"
1,"120832"
2,"109515"
3,"87727"
4,"70852"
5,"57126"
6,"45545"
7,"36627"
8,"28241"
9,"24165"
10,"20736"
11,"18103"
12,"15812"
13,"14228"
14,"13105"
15,"11724"
16,"10580"
17,"9654"
18,"8803"
19,"8046"
20,"7538"
21,"7056"
22,"6381"
23,"5867"
24,"5388"
25,"5198"
26,"4912"
27,"4479"
28,"4215"
29,"4015"
30,"3936"
31,"3740"
32,"3520"
33,"3265"
34,"3312"
35,"3089"
36,"2859"
37,"2847"
38,"2641"
39,"2686"
40,"2583"
41,"2522"
42,"2377"
43,"2333"
44,"2196"
45,"2146"
46,"1957"
47,"1957"
48,"1892"
49,"1821"
50,"1785"
51,"1919"
52,"1631"
53,"1554"
54,"1586"
55,"1464"
56,"1343"
57,"1436"
58,"1330"
59,"1270"
60,"1226"
61,"1252"
62,"1196"
63,"1142"
64,"1082"
65,"1112"
66,"1048"
67,"1017"
68,"1031"
69,"969"
70,"918"
71,"924"
72,"934"
73,"942"
74,"867"
75,"790"
76,"763"
77,"807"
78,"748"
79,"728"
80,"691"
81,"755"
82,"689"
83,"699"
84,"715"
85,"676"
86,"601"
87,"643"
88,"675"
89,"753"
90,"619"
91,"576"
92,"650"
93,"601"
94,"597"
95,"551"
96,"571"
97,"573"
98,"570"
99,"537"
100,"562"
101,"521"
102,"687"
103,"530"
104,"560"
105,"482"
106,"470"
107,"440"
108,"487"
109,"473"
110,"472"
111,"471"
112,"441"
113,"456"
114,"422"
115,"498"
116,"419"
117,"448"
118,"435"
119,"424"
120,"432"
121,"432"
122,"449"
123,"406"
124,"1184"
125,"399"
126,"415"
127,"388"
128,"379"
129,"382"
130,"398"
131,"371"
132,"323"
133,"360"
134,"382"
135,"352"
136,"380"
137,"353"
138,"370"
139,"328"
140,"349"
141,"347"
142,"297"
143,"515"
144,"345"
145,"310"
146,"291"
147,"302"
148,"356"
149,"289"
150,"314"
151,"329"
152,"371"
153,"293"
154,"314"
155,"468"
156,"294"
157,"300"
158,"310"
159,"312"
160,"302"
161,"619"
162,"341"
163,"263"
164,"285"
165,"320"
166,"296"
167,"289"
168,"297"
169,"296"
170,"297"
171,"301"
172,"301"
173,"280"
174,"260"
175,"275"
176,"511"
177,"318"
178,"292"
179,"260"
180,"276"
181,"432"
182,"282"
183,"300"
184,"312"
185,"275"
186,"264"
187,"280"
188,"298"
189,"256"
190,"250"
191,"274"
192,"248"
193,"280"
194,"281"
195,"281"
196,"263"
197,"267"
198,"277"
199,"255"
200,"284"
201,"279"
202,"267"
203,"258"
204,"288"
205,"241"
206,"253"
207,"1555"
208,"254"
209,"226"
210,"222"
211,"255"
212,"238"
213,"249"
214,"247"
215,"208"
216,"234"
217,"214"
218,"200"
219,"227"
220,"236"
221,"177"
222,"201"
223,"219"
224,"188"
225,"184"
226,"146"
227,"112"
228,"108"
229,"76"
230,"79"
231,"84"
232,"45"
233,"43"
234,"25"
235,"32"
236,"22"
237,"25"
238,"25"
239,"30"
240,"29"
241,"17"
242,"26"
243,"21"
244,"21"
245,"12"
246,"16"
247,"13"
248,"16"
249,"17"
250,"17"
251,"18"
252,"14"
253,"21"
254,"22"
255,"23"
256,"14"
257,"10"
258,"12"
259,"9"
260,"8"
261,"20"
262,"9"
263,"15"
264,"15"
265,"10"
266,"15"
267,"14"
268,"6"
269,"13"
270,"14"
271,"11"
272,"8"
273,"10"
274,"9"
275,"10"
276,"12"
277,"14"
278,"10"
279,"6"
280,"7"
281,"10"
282,"10"
283,"9"
284,"8"
285,"9"
286,"8"
287,"6"
288,"6"
289,"6"
290,"5"
291,"13"
292,"11"
293,"10"
294,"14"
295,"13"
296,"8"
297,"10"
298,"9"
299,"8"
300,"4"
301,"11"
302,"10"
303,"10"
304,"9"
305,"9"
306,"12"
307,"7"
308,"7"
309,"8"
310,"7"
311,"5"
312,"8"
313,"5"
314,"9"
315,"5"
316,"7"
317,"8"
318,"5"
319,"5"
320,"7"
321,"3"
322,"6"
323,"1"
324,"4"
325,"5"
326,"7"
327,"4"
328,"7"
329,"9"
330,"5"
331,"10"
333,"1"
334,"5"
335,"5"
336,"2"
337,"6"
338,"6"
339,"10"
340,"8"
341,"7"
342,"5"
343,"3"
344,"3"
345,"10"
346,"3"
347,"8"
348,"5"
349,"5"
350,"9"
351,"6"
353,"9"
354,"6"
355,"5"
356,"7"
357,"8"
358,"7"
359,"3"
360,"9"
361,"8"
362,"6"
363,"7"
364,"6"
365,"5"
366,"3"
367,"3"
368,"1"
369,"5"
370,"7"
371,"4"
372,"2"
373,"1"
377,"1"
378,"1"
380,"1"
381,"1"
384,"2"
392,"2"
398,"1"
405,"1"
408,"1"
416,"1"
420,"1"
427,"2"
429,"2"
446,"1"
449,"1"
456,"1"
457,"2"
460,"118"
461,"1"
467,"1"
468,"1"
471,"1"
473,"40"
483,"1"
491,"1"
492,"1"
496,"4"
497,"2"
499,"2"
507,"1"
