"n_vout","count"
1,"2522"
2,"2914223"
3,"66392"
4,"18677"
5,"17012"
6,"44110"
7,"12706"
8,"8207"
9,"6533"
10,"4652"
11,"14564"
12,"4366"
13,"3604"
14,"2639"
15,"11905"
16,"13703"
17,"1788"
18,"1686"
19,"1596"
20,"1533"
21,"15880"
22,"941"
23,"797"
24,"734"
25,"646"
26,"2211"
27,"804"
28,"506"
29,"489"
30,"550"
31,"1589"
32,"483"
33,"331"
34,"366"
35,"348"
36,"307"
37,"351"
38,"5554"
39,"4664"
40,"244"
41,"217"
42,"146"
43,"136"
44,"160"
45,"150"
46,"161"
47,"62"
48,"13"
49,"9"
50,"6"
51,"17"
52,"9"
53,"6"
54,"11"
55,"38"
59,"3"
